"8089","BIOL 213","1A","Principles in Biology III","3","","Lec","MWF","1100-1150","DSU 255","Burke, Russell; Atkinson, Robert","11","Open",
"8092","BIOL 213","4B","Principles in Biology III","3","","Lec","MWF","1100-1150","FORBES 1022","Atkinson, Robert; Burke, Russell","4","Open",
"8090","BIOL 213","O2B","Principles in Biology III","3","","Lec","MWF","0900-0950","SYN ","Ruane, Lauren; Collar, David","4","Open",
"8091","BIOL 213","O3A","Principles in Biology III","3","","Lec","MWF","0900-0950","SYN ","Collar, David; Ruane, Lauren","0","Closed",
"8094","BIOL 213L","2A","Principles of Biology III Lab","1","","Lab","R","0900-1250","FORBES 1033","Steven, Janet; Boycourt, Elizabeth","3","Open",
"8095","BIOL 213L","3A","Principles of Biology III Lab","1","","Lab","M","1300-1650","FORBES 1033","Steven, Janet; Boycourt, Elizabeth","0","Closed",
"8096","BIOL 213L","4A","Principles of Biology III Lab","1","","Lab","W","1300-1650","FORBES 1033","Steven, Janet; Boycourt, Elizabeth","7","Open",
"8093","BIOL 213L","O1B","Principles of Biology III Lab","1","","Lab","R","0900-1250","SYN ","Atkinson, Robert; Ramey, Teri","5","Open",
"8097","BIOL 213L","O2B","Principles of Biology III Lab","1","","Lab","W","1300-1650","SYN ","Atkinson, Robert; Ramey, Teri","2","Open",
"9298","BIOL 295","1","SPC TP: Intro to Kinesiology","3","","Lec","MW","1800-1915","DSU 255","Powell, Lisa","6","Open",
"8099","BIOL 300","1","Biostats-Statstcl App Life Sci","3","","Lec","TR","0800-0915","FORBES 2090","Velkey, Andrew","0","Closed",
"8100","BIOL 301","ON1","Microbiology","3","","Lec","TR","1100-1215","SYN ","Gruber, Todd","0","Closed",
"8101","BIOL 301L","1","Microbiology Laboratory","1","","Lab","T","1330-1720","FORBES 1015","Guidicelli-Gadea, Lourdes","1","Open",
"8102","BIOL 301L","2","Microbiology Laboratory","1","","Lab","W","1300-1650","FORBES 1015","Guidicelli-Gadea, Lourdes","4","Open",
"8103","BIOL 308","ON1","Plant Biology","4","","Lec","TR","0800-0915","SYN ","Ruane, Lauren","0","Closed",
"8104","BIOL 308L","ON1","Plant Biology Laboratory","0","","Lab","R","1330-1720","SYN ","Ruane, Lauren","0","Closed",
"8105","BIOL 313","ON1","Genetics","3","","Lec","TR","1800-1915","SYN ","Bogenpohl, James","1","Open",
"8106","BIOL 315","1","Human Anatomy/Physiology II","3","","Lec","TR","0800-0915","LUTR 376","Grau, Harold","5","Open",
"8107","BIOL 315","ON1","Human Anatomy/Physiology II","3","","Lec","TR","1100-1215","SYN ","Knight, William","0","Closed",
"8108","BIOL 315L","1","Human Anatmy/Physiology II Lab","1","","Lab","T","1330-1720","FORBES 2056","Knight, William","0","Closed",
"8109","BIOL 315L","2","Human Anatmy/Physiology II Lab","1","","Lab","W","1300-1650","FORBES 2056","Grau, Harold","5","Open",
"8110","BIOL 315L","3","Human Anatmy/Physiology II Lab","1","","Lab","R","1330-1720","FORBES 2056","Grau, Harold","17","Open",
"8111","BIOL 315L","4","Human Anatmy/Physiology II Lab","1","","Lab","M","1300-1650","FORBES 2056","Knight, William","1","Open",
"8052","BIOL 319","ON1","Nutrition","3","","Lec","TR","0930-1045","SYN ","Knight, William","0","Closed",
"8112","BIOL 326","ON1","Genomics, Proteomics &amp; Bioinfo","3","","Lec","MWF","1000-1050","SYN ","Tombolato-Terzic, Denise","15","Open",
"8113","BIOL 365","ON1","Evolutionary Biology","3","","Lec","TR","1100-1215","SYN ","Abraham, Barbara","0","Closed",
"8114","BIOL 391","1","WI: Junior Seminar","1","  WI","Lec","M","1000-1050","FORBES 2043","Thompson, Jessica","0","Closed",
"8115","BIOL 391","2","WI: Junior Seminar","1","  WI","Lec","W","1000-1050","FORBES 2043","Thompson, Jessica","0","Closed",
"8116","BIOL 391","3","WI: Junior Seminar","1","  WI","Lec","W","1100-1150","FORBES 2043","Thompson, Jessica","0","Closed",
"8117","BIOL 391","4","WI: Junior Seminar","1","  WI","Lec","W","0900-0950","FORBES 2014","Meighan, Christopher","2","Open",
"8118","BIOL 391","5","WI: Junior Seminar","1","  WI","Lec","W","1000-1050","FORBES 2014","Meighan, Christopher","1","Open",
"8119","BIOL 391","6","WI: Junior Seminar","1","  WI","Lec","W","1100-1150","FORBES 2014","Meighan, Christopher","0","Closed",
"8120","BIOL 391","7","WI: Junior Seminar","1","  WI","Lec","W","1000-1050","FORBES 2088","Mitrano, Darlene","0","Closed",
"8121","BIOL 391","8","WI: Junior Seminar","1","  WI","Lec","F","0900-0950","FORBES 2014","Mitrano, Darlene","0","Closed",
"8122","BIOL 391","9","WI: Junior Seminar","1","  WI","Lec","F","1000-1050","FORBES 2088","Mitrano, Darlene","0","Closed",
"8053","BIOL 395","1","SPC TP: Aquaculture &amp; Restorat","3","","Lec","MWF","0800-0850","FORBES 2074","Burke, Russell","6","Open",
